
Access Point Information
_________________________
Sample No.,Time,SSID,Channel,Encyption,RSSI,Supported Rates,MAC Address,Network Type,Infrastructure Mode,First Seen Time,Last Seen Time
4,08:43:51:233 21-Dec-2019,"NJUPT",40,? (WEP),-83,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-20,N (HT),??????,08:42:46 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT",44,? (WEP),-80,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-60,N (HT),??????,08:40:59 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT",56,? (WEP),-88,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-22-20,N (HT),??????,08:42:46 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT",149,? (WEP),-78,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-60,N (HT),??????,08:40:59 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT",157,? (WEP),-71,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-2B-A0,N (HT),??????,08:40:59 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT",1,? (WEP),-83,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-52-50,N (HT),??????,08:42:32 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT-CHINANET",40,? (WEP),-84,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-21,N (HT),??????,08:42:46 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT-CHINANET",44,? (WEP),-80,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-61,N (HT),??????,08:40:59 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT-CHINANET",56,? (WEP),-87,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-22-21,N (HT),??????,08:40:59 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT-CHINANET",149,? (WEP),-77,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-61,N (HT),??????,08:40:59 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT-CHINANET",157,? (WEP),-71,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-2B-A1,N (HT),??????,08:40:59 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT-CHINANET",6,? (WEP),-63,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-56-11,N (HT),??????,08:41:14 21-Dec-2019,08:43:51 21-Dec-2019
4,08:43:51:233 21-Dec-2019,"NJUPT-CMCC",40,? (WEP),-84,"300,156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-22,N (HT),??????,08:42:46 21-Dec-2019,08:43:51 21-Dec-2019
