
Access Point Information
_________________________

Sample No.,Time,SSID,Channel,Encyption,RSSI,Supported Rates,MAC Address,Network Type,Infrastructure Mode,First Seen Time,Last Seen Time

1,11:41:56:020 14-Dec-2019,"DIRECT-11-HP M254 LaserJet",6,? (WPA2),-68,"156,54,48,39,36,24,19,18 Mb/s",D6-6A-6A-47-32-11,N (HT),??????,10:04:34 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"eduroam",40,? (WPA2),-84,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-23,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"eduroam",11,? (WPA2),-88,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-4D-F3,N (HT),??????,11:13:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"eduroam",44,? (WPA2),-56,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-63,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"eduroam",149,? (WPA2),-70,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-63,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"eduroam",11,? (WPA2),-77,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-52-33,N (HT),??????,10:04:34 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT",44,? (WEP),-56,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-60,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT",11,? (WEP),-85,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-4D-F0,N (HT),??????,10:05:24 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT",11,? (WEP),-77,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-52-30,N (HT),??????,10:05:17 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT",149,? (WEP),-70,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-60,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT",40,? (WEP),-85,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-20,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT-CHINANET",44,? (WEP),-56,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-61,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT-CHINANET",11,? (WEP),-78,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-52-31,N (HT),??????,10:04:56 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT-CHINANET",149,? (WEP),-70,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-61,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT-CHINANET",40,? (WEP),-85,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-21,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"CMCC-EDU",1,? (WEP),-55,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-68-A1,G (OFDM24),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"CMCC-EDU",11,? (WEP),-65,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-6B-71,G (OFDM24),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"AAAAA1",1,? (WEP),-11,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",88-25-93-F8-6A-46,N (HT),??????,10:06:14 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"Honor 9",6,? (WPA2),-55,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",B0-E5-ED-B1-85-0C,N (HT),??????,10:46:54 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"DIRECT-11-HP M254 LaserJet",6,? (WPA2),-68,"156,54,48,39,36,24,19,18 Mb/s",D6-6A-6A-47-32-11,N (HT),??????,10:04:34 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"Room_528",11,? (WPA2),-68,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",48-0E-EC-2F-D8-F6,N (HT),??????,10:04:27 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT-CMCC",44,? (WEP),-56,"300,156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-62,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT-CMCC",149,? (WEP),-70,"300,156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-62,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"NJUPT-CMCC",40,? (WEP),-84,"300,156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-22,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"LieBaoWiFi410",44,? (WPA2),-49,"156,54,48,39,36,24,19,18 Mb/s",50-2B-73-D9-64-DF,N (HT),??????,10:04:20 14-Dec-2019,11:41:56 14-Dec-2019
1,11:41:56:020 14-Dec-2019,"MERCURY_CF67",13,? (WPA2),-89,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",BC-5F-F6-AF-CF-67,N (HT),??????,10:14:03 14-Dec-2019,11:41:56 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CMCC",1,? (WEP),-54,"144,156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-53-72,N (HT),??????,10:04:42 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CMCC",40,? (WEP),-83,"300,156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-22,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CMCC",44,? (WEP),-56,"300,156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-62,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CMCC",149,? (WEP),-70,"300,156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-62,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CMCC",11,? (WEP),-56,"144,156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-56-32,N (HT),??????,10:04:34 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"eduroam",11,? (WPA2),-84,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-81-73,N (HT),??????,10:12:31 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"eduroam",40,? (WPA2),-84,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-23,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"eduroam",44,? (WPA2),-56,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-63,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"eduroam",149,? (WPA2),-70,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-63,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"eduroam",11,? (WPA2),-59,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-56-33,N (HT),??????,10:04:49 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT",40,? (WEP),-83,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-20,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT",44,? (WEP),-57,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-60,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT",149,? (WEP),-70,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-60,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT",11,? (WEP),-54,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-56-30,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT",11,? (WEP),-75,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-52-30,N (HT),??????,10:05:17 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CHINANET",40,? (WEP),-83,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-21,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CHINANET",44,? (WEP),-56,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-61,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CHINANET",149,? (WEP),-70,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-61,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"NJUPT-CHINANET",11,? (WEP),-75,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-52-31,N (HT),??????,10:04:56 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"LieBaoWiFi410",44,? (WPA2),-50,"156,54,48,39,36,24,19,18 Mb/s",50-2B-73-D9-64-DF,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"CMCC-EDU",1,? (WEP),-55,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-68-A1,G (OFDM24),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"CMCC-EDU",11,? (WEP),-60,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-6B-71,G (OFDM24),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"Honor 9",6,? (WPA2),-55,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",B0-E5-ED-B1-85-0C,N (HT),??????,10:46:54 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"sss-x5",6,? (WPA2),-84,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",88-70-22-00-4E-CE,N (HT),??????,10:14:41 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"",6,? (WPA2),-71,"300,156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",34-2E-B6-62-F4-49,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"HUAWEI-9MR3JE",6,? (WPA2),-67,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",34-2E-B6-62-F4-44,N (HT),??????,10:04:27 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"TP-LINK_26B3",6,? (WEP),-70,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",9C-A6-15-2D-26-B3,N (HT),??????,10:04:20 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"Room_528",11,? (WPA2),-69,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",48-0E-EC-2F-D8-F6,N (HT),??????,10:04:27 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"DIRECT-273A530D",11,? (WPA2),-84,"72,156,54,48,39,36,24,19,18 Mb/s",FA-D0-27-3A-D3-0D,N (HT),??????,10:04:34 14-Dec-2019,11:42:03 14-Dec-2019
2,11:42:03:159 14-Dec-2019,"CSLIU",11,? (WPA2),-84,"450,156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",30-FC-68-1F-04-FC,N (HT),??????,10:05:24 14-Dec-2019,11:42:03 14-Dec-2019
3,11:42:10:342 14-Dec-2019,"",6,? (WPA2),-69,"300,156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",34-2E-B6-62-F4-49,N (HT),??????,10:04:20 14-Dec-2019,11:42:10 14-Dec-2019
3,11:42:10:342 14-Dec-2019,"guo2333",8,? (WPA2),-84,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",A0-C5-F2-B0-98-52,N (HT),??????,10:04:34 14-Dec-2019,11:42:10 14-Dec-2019
