
Access Point Information
_________________________
Sample No.,Time,SSID,Channel,Encyption,RSSI,Supported Rates,MAC Address,Network Type,Infrastructure Mode,First Seen Time,Last Seen Time
1,08:43:29:758 21-Dec-2019,"123",1,? (WPA2),-54,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",30-FC-68-84-56-80,N (HT),??????,08:40:59 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"NJUPT",1,? (WEP),-56,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",70-BA-EF-C7-6B-70,N (HT),??????,08:41:06 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"NJUPT",40,? (WEP),-83,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-20,N (HT),??????,08:42:46 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"NJUPT",44,? (WEP),-82,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-53-60,N (HT),??????,08:40:59 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"NJUPT",149,? (WEP),-73,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-6B-60,N (HT),??????,08:40:59 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"NJUPT",153,? (WEP),-79,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-56-00,N (HT),??????,08:41:06 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"NJUPT",157,? (WEP),-79,"156,54,48,39,36,24,19,18 Mb/s",70-BA-EF-C7-2B-A0,N (HT),??????,08:40:59 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"CMCC-EDU",1,? (WEP),-65,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-68-A1,G (OFDM24),??????,08:42:11 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"CMCC-EDU",1,? (WEP),-71,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-69-84,G (OFDM24),??????,08:42:54 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"CMCC-EDU",11,? (WEP),-38,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-6B-71,G (OFDM24),??????,08:40:59 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"CMCC-EDU",11,? (WEP),-72,"54,48,36,24,18,12,9,6,2 Mb/s",8C-79-67-01-6E-A0,G (OFDM24),??????,08:41:06 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"TP-LINK_E01E",3,? (WPA2),-77,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",B8-F8-83-2B-E0-1E,N (HT),??????,08:40:59 21-Dec-2019,08:43:29 21-Dec-2019
1,08:43:29:758 21-Dec-2019,"AAAAA2",4,? (WEP),-72,"156,117,54,48,39,36,24,19,19,18,16,6 Mb/s",88-25-93-F8-36-F0,N (HT),??????,08:40:59 21-Dec-2019,08:43:29 21-Dec-2019
